TITLE	BSA_c1_g1_83mMYCl3_rep2
DATA TYPE	ULTRAVIOLET SPECTRUM
ORIGIN	JASCO
OWNER	TOF
DATE	10/03/28
TIME	12:28:43
SPECTROMETER/DATA SYSTEM	
LOCALE	2057
RESOLUTION	
DELTAX	-0.5
XUNITS	NANOMETERS
YUNITS	ABSORBANCE
FIRSTX	  800.0000
LASTX	  250.0000
NPOINTS	    1101
FIRSTY	    -0.00163
MAXY	     0.62789
MINY	    -0.00163
XYDATA
456.5000	0.007014
456.0000	0.00700282
455.5000	0.00699999
455.0000	0.00698135
454.5000	0.00698436
454.0000	0.00696343
453.5000	0.00693312
453.0000	0.00692181
452.5000	0.00691405
452.0000	0.00691516
451.5000	0.0069388
451.0000	0.0069427
450.5000	0.00694858
450.0000	0.00693139
449.5000	0.00691695
449.0000	0.00695333
448.5000	0.00700162
448.0000	0.00702442
447.5000	0.00705892
447.0000	0.00707015
446.5000	0.00711717
446.0000	0.00714824
445.5000	0.00720222
445.0000	0.00726533
444.5000	0.00727377
444.0000	0.00730253
443.5000	0.00734564
443.0000	0.00739123
442.5000	0.00743195
442.0000	0.00747372
441.5000	0.00752039
441.0000	0.00759154
440.5000	0.00764169
440.0000	0.0077206
439.5000	0.00771013
439.0000	0.00769111
438.5000	0.00766738
438.0000	0.00766288
437.5000	0.00772838
437.0000	0.00780935
436.5000	0.00781887
436.0000	0.00782677
435.5000	0.00785412
435.0000	0.0079158
434.5000	0.00797446
434.0000	0.00796282
433.5000	0.00801172
433.0000	0.00803718
432.5000	0.0080642
432.0000	0.00806953
431.5000	0.0080729
431.0000	0.00810951
430.5000	0.00813486
430.0000	0.00818588
429.5000	0.0082278
429.0000	0.00828224
428.5000	0.00831647
428.0000	0.00831304
427.5000	0.00834121
427.0000	0.00836793
426.5000	0.00837565
426.0000	0.00843701
425.5000	0.00842863
425.0000	0.008465
424.5000	0.00848671
424.0000	0.00856317
423.5000	0.00858844
423.0000	0.00859705
422.5000	0.00857012
422.0000	0.00857673
421.5000	0.00863168
421.0000	0.0087296
420.5000	0.0088452
420.0000	0.00889594
419.5000	0.0089149
419.0000	0.00896045
418.5000	0.00897807
418.0000	0.00901484
417.5000	0.00897471
417.0000	0.00899762
416.5000	0.00902125
416.0000	0.00904501
415.5000	0.00902254
415.0000	0.00905036
414.5000	0.00912439
414.0000	0.00920034
413.5000	0.00926077
413.0000	0.00931902
412.5000	0.00931252
412.0000	0.00931287
411.5000	0.00926978
411.0000	0.00926354
410.5000	0.00924377
410.0000	0.00927556
409.5000	0.00932443
409.0000	0.00932265
408.5000	0.0093124
408.0000	0.00930712
407.5000	0.00931958
407.0000	0.0092805
406.5000	0.00930499
406.0000	0.00932016
405.5000	0.00935227
405.0000	0.00930483
404.5000	0.00929366
404.0000	0.00931219
403.5000	0.00938039
403.0000	0.00937632
402.5000	0.00935702
402.0000	0.00932698
401.5000	0.0093912
401.0000	0.00955922
400.5000	0.00959112
400.0000	0.00991058
399.5000	0.0100109
399.0000	0.0100896
398.5000	0.0101751
398.0000	0.010284
397.5000	0.0105127
397.0000	0.0108149
396.5000	0.0110496
396.0000	0.0113289
395.5000	0.0115069
395.0000	0.0117582
394.5000	0.0120923
394.0000	0.0123896
393.5000	0.0127642
393.0000	0.0129847
392.5000	0.0132754
392.0000	0.0135257
391.5000	0.013768
391.0000	0.013964
390.5000	0.014151
390.0000	0.0143317
389.5000	0.0145413
389.0000	0.0146747
388.5000	0.0147893
388.0000	0.0148548
387.5000	0.0149832
387.0000	0.0150302
386.5000	0.0149787
386.0000	0.0150534
385.5000	0.0150856
385.0000	0.0151829
384.5000	0.0151903
384.0000	0.0152138
383.5000	0.0152572
383.0000	0.015208
382.5000	0.0151472
382.0000	0.0150352
381.5000	0.0150059
381.0000	0.0149895
380.5000	0.015079
380.0000	0.0151336
379.5000	0.0151288
379.0000	0.0150254
378.5000	0.0149874
378.0000	0.0150449
377.5000	0.0150777
377.0000	0.015041
376.5000	0.0149816
376.0000	0.0150316
375.5000	0.0150489
375.0000	0.0151452
374.5000	0.0153335
374.0000	0.0153994
373.5000	0.0154361
373.0000	0.0153935
372.5000	0.0154883
372.0000	0.0155888
371.5000	0.0154965
371.0000	0.0155984
370.5000	0.0157006
370.0000	0.0161317
369.5000	0.0161635
369.0000	0.0163158
368.5000	0.0163827
368.0000	0.0164719
367.5000	0.0164733
367.0000	0.0165047
366.5000	0.0166523
366.0000	0.0166041
365.5000	0.01658
365.0000	0.0166084
364.5000	0.0167346
364.0000	0.0167752
363.5000	0.0168342
363.0000	0.0169503
362.5000	0.017057
362.0000	0.0171664
361.5000	0.0173296
361.0000	0.0175467
360.5000	0.0177506
360.0000	0.01766
359.5000	0.0177057
359.0000	0.0176154
358.5000	0.0176559
358.0000	0.0176537
357.5000	0.0176404
357.0000	0.0176086
356.5000	0.0178637
356.0000	0.0179957
355.5000	0.0180542
355.0000	0.0181071
354.5000	0.0183352
354.0000	0.0184775
353.5000	0.0185538
353.0000	0.0185732
352.5000	0.0186127
352.0000	0.0187517
351.5000	0.0187661
351.0000	0.0187866
350.5000	0.018896
350.0000	0.018888
349.5000	0.0189577
349.0000	0.0190608
348.5000	0.0190519
348.0000	0.0191496
347.5000	0.0190048
347.0000	0.0190596
346.5000	0.0190203
346.0000	0.0192591
345.5000	0.0195045
345.0000	0.0197349
344.5000	0.0197024
344.0000	0.0197804
343.5000	0.0194214
343.0000	0.0195658
342.5000	0.0193
342.0000	0.0195533
341.5000	0.0196388
341.0000	0.0198863
340.5000	0.0197154
340.0000	0.0206735
339.5000	0.0205183
339.0000	0.0206049
338.5000	0.0209246
338.0000	0.0213967
337.5000	0.0214675
337.0000	0.0213324
336.5000	0.021131
336.0000	0.021049
335.5000	0.0211972
335.0000	0.0212913
334.5000	0.0214403
334.0000	0.0215423
333.5000	0.0215866
333.0000	0.0217132
332.5000	0.0216821
332.0000	0.0216911
331.5000	0.0218856
331.0000	0.0223609
330.5000	0.0221796
330.0000	0.0221979
329.5000	0.0221972
329.0000	0.0224946
328.5000	0.0228661
328.0000	0.0228871
327.5000	0.0229115
327.0000	0.023055
326.5000	0.0232275
326.0000	0.0231664
325.5000	0.0234287
325.0000	0.0234444
324.5000	0.023206
324.0000	0.0233458
323.5000	0.0235515
323.0000	0.0237917
322.5000	0.023873
322.0000	0.0239755
321.5000	0.0241975
321.0000	0.0241354
320.5000	0.0244737
320.0000	0.0249243
319.5000	0.0252114
319.0000	0.0253689
318.5000	0.0257385
318.0000	0.0255364
317.5000	0.0257844
317.0000	0.0256068
316.5000	0.0261197
316.0000	0.0264843
315.5000	0.0271219
315.0000	0.0271624
314.5000	0.027608
314.0000	0.0278144
