TITLE	BSA_c1_g1_8.3mMYCl3
DATA TYPE	ULTRAVIOLET SPECTRUM
ORIGIN	JASCO
OWNER	TOF
DATE	10/03/28
TIME	10:49:29
SPECTROMETER/DATA SYSTEM	
LOCALE	2057
RESOLUTION	
DELTAX	-0.5
XUNITS	NANOMETERS
YUNITS	ABSORBANCE
FIRSTX	  800.0000
LASTX	  250.0000
NPOINTS	    1101
FIRSTY	    -0.00113
MAXY	     0.70314
MINY	    -0.00113
XYDATA
388.5000	0.0152895
388.0000	0.0153711
387.5000	0.0153997
387.0000	0.0154172
386.5000	0.0154518
386.0000	0.0153747
385.5000	0.0152454
385.0000	0.0151446
384.5000	0.0150758
384.0000	0.0150893
383.5000	0.0149609
383.0000	0.014817
382.5000	0.0146868
382.0000	0.014553
381.5000	0.0144204
381.0000	0.0142839
380.5000	0.0142902
380.0000	0.0142425
379.5000	0.0141965
379.0000	0.0141211
378.5000	0.014108
378.0000	0.0141424
377.5000	0.0140651
377.0000	0.0139733
376.5000	0.013825
376.0000	0.0137409
375.5000	0.0137639
375.0000	0.0136747
374.5000	0.0136895
374.0000	0.0137083
373.5000	0.0136756
373.0000	0.0136099
372.5000	0.0135276
372.0000	0.0136717
371.5000	0.0137127
371.0000	0.0136434
370.5000	0.013487
370.0000	0.0134855
369.5000	0.013513
369.0000	0.0134822
368.5000	0.0136191
368.0000	0.0134838
367.5000	0.013607
367.0000	0.0133839
366.5000	0.0132744
366.0000	0.0133285
365.5000	0.0133734
365.0000	0.0133382
364.5000	0.0134849
364.0000	0.0135809
363.5000	0.0134312
363.0000	0.0134297
362.5000	0.0131937
362.0000	0.013321
361.5000	0.0134169
361.0000	0.0137957
360.5000	0.0138111
360.0000	0.0139605
359.5000	0.0140393
359.0000	0.0140788
358.5000	0.0141656
358.0000	0.0143356
357.5000	0.0144969
357.0000	0.0144971
356.5000	0.0143652
356.0000	0.0143364
355.5000	0.0145268
355.0000	0.014796
354.5000	0.0148964
354.0000	0.0149358
353.5000	0.0149365
353.0000	0.0150547
352.5000	0.0150433
352.0000	0.0150169
351.5000	0.0150296
351.0000	0.0151443
350.5000	0.0153146
350.0000	0.0153503
349.5000	0.0152967
349.0000	0.015282
348.5000	0.0154543
348.0000	0.0156827
347.5000	0.0159877
347.0000	0.0159279
346.5000	0.0160779
346.0000	0.0159432
345.5000	0.0161299
345.0000	0.016131
344.5000	0.016313
344.0000	0.0164116
343.5000	0.0165043
343.0000	0.0165576
342.5000	0.0166107
342.0000	0.0166151
341.5000	0.0167799
341.0000	0.0167362
340.5000	0.0171519
340.0000	0.0171521
339.5000	0.0168721
339.0000	0.0168132
338.5000	0.017234
338.0000	0.0171942
337.5000	0.0175403
337.0000	0.0174816
336.5000	0.0175563
336.0000	0.0174676
335.5000	0.0171803
335.0000	0.0172904
334.5000	0.0173886
334.0000	0.0175864
333.5000	0.0179671
333.0000	0.0180439
332.5000	0.0183687
332.0000	0.0186594
331.5000	0.0187606
331.0000	0.0186966
330.5000	0.0185949
330.0000	0.0188127
329.5000	0.0190812
329.0000	0.0193171
328.5000	0.0194597
328.0000	0.0196784
327.5000	0.0198971
327.0000	0.019685
326.5000	0.0199665
326.0000	0.0200026
325.5000	0.0204519
325.0000	0.0206187
324.5000	0.0206692
324.0000	0.0205815
323.5000	0.0207077
323.0000	0.0208774
322.5000	0.0209256
322.0000	0.0211708
321.5000	0.0210857
321.0000	0.0214666
320.5000	0.0216038
320.0000	0.022005
319.5000	0.0219723
319.0000	0.022048
318.5000	0.0221253
318.0000	0.0223851
317.5000	0.0225417
317.0000	0.0228402
316.5000	0.023085
316.0000	0.0233612
315.5000	0.0238153
315.0000	0.0239659
314.5000	0.0242676
314.0000	0.024497
313.5000	0.0248756
313.0000	0.0253179
312.5000	0.0256604
312.0000	0.0260043
311.5000	0.0264366
311.0000	0.0268591
310.5000	0.0273157
310.0000	0.0275736
309.5000	0.0282194
309.0000	0.0291464
308.5000	0.0297841
308.0000	0.0305454
